They do not!	The only way to
North, actually.	The first thing I
So -- which Dakota you	're talking about?
C'mon.	I'm not going to tell
So they tell me.	I'm not going to
You the new guy?	I'm not
You get the girl.	"I'm
What's the worst?	The worst is
Where?	The first thing you need to
She kissed me.	I was so happy. I
You makin' any headway?	
She just needs time to	get used to it.
She hates you with the	same passion that I hate
I don ' t know.	I don't know. I don't
What'd you do to her?	I
Then, go get her	.I'm
Sure	, I'm not sure if I'm going
Cameron -- do you like	the way you look
She's partial to Joey, not	just because he
What 're you talking about?	What're you talking about?', 'what
It's off.	"I'm not
Cameron, I'm a little busy	. I
Don't make me do it,	I'm not
Gigglepuss is playing there tomorrow	.
So what does that give	you?The
Okay -- Likes:  Thai	, Chinese, Japanese
I've retrieved certain pieces of	information from the internet
What've you got for me?	I
Yeah -- we'll see.	"I
And he means that strictly	speaking, he's not
And why would I do	that?I
Leave my sister alone.	I'm not going to
Your sister here?	"I'm sorry
Away.	"I'm not going
Where ya goin?	I'm gonna
Not at all	.The only thing that
Hey -- do you mind?	I'm not going
They're running the rest of	the season, and
Yeah, and I noticed the	same thing. I
The vintage look is over,	but the look of
Enough with the Barbie n'	Barbie, I'm
I don't know, Dorsey.	I don
Get her to act like	a woman.
Do what?	The answer is that the
How'd you do it?	I'd
A deal's a deal.	"I
It's about time.	"I'm
Forget her sister, then.	"
Forget it.	The first thing you
A hundred bucks a date.	"I
What?	The first thing you need to
I just upped my price	a little bit.
I got her under control.	She was very happy
Watching the bitch trash my	ass, I'm
I'm on it	. I'm on it.
When I shell out fifty,	I'm not sure
Fifty, and you've got your	own little
Take it or leave it.	The first
Fine, thirty.	"I'm sorry
I can't take a girl	who's been raped
How much?	The answer is $100
I can't date her sister	, but I can
You're gonna pay me to	do this. I
You got it, Verona.	You got it
But you'd go out with	a friend and you
You need money to take	care of your kids.
You just said	that you're not going to be
Sure, Sparky.	I'm not sure if
Yeah, whatever.	I'm not going to tell
Two legs, nice rack.	I'm
What do you think?	The answer is
Yeah	, I'm not sure I'm going to
Hey -- it's all for	the best.
You better not fuck this	up. I'm not
What?	The first thing you need to
You and Verona?	Verona is
Uh,  yeah.	I'm not sure if
I hear you're helpin' Verona.	I
So what you need to	do is to get your
Does this conversation have a	lot of meaning?
But she can't go out	and buy a new
We're not.	We're not. We're
Well, actually, I thought I'd	just say
We don't chat.	We don't talk.
Nope - just came by	and asked if I
Are you lost?	I'm sorry,
Hey.	I'm not going to lie. I
Oh, honey -- tell me	what you think.
William - he asked me	to write a book about
Who?	The first thing you need to
Have you seen him?	He's a
Oh, good.	I'm going to go get
You ' re looking at	You're looking at the other side of the
Okay, okay, we won't go.	
Listen to you!	The following is a
Well, I guess we're not,	but I
Can you even imagine?	I'm not
I got drunk.	I was like, 'I
You didn't	know that. I was just a
I did Bianca a favor	and I'm going
You didn't have a choice?	I
I didn't have a choice.	I was going
You went to the party?	I'm not sure
Who cares?	"I'm not going
What'd he say?	"I'm
No fear.	I'm not going to be a
You think this'll work?	I'm
If I was Bianca, it	would be a
Does it matter?	The answer is no
I appreciate your efforts toward	this goal. I am
Neither has his heterosexuality.	"I
That's never been proven	."I
William didn't even go to	the hospital.
William would never have gone	to the hospital.
So he has this huge	, huge, huge,
You could always go with	a different color, but
The people at this school	are not going to be
But imagine the things he'd	do if he were
I realize that the men	who are in charge of
An attempted slit.	The victim was taken
What's this?	I'm not sure
Just a little.	"I'm not
Mandella, eat.	"I'm
Block E?	The answer is yes.
He always look so	good. He's a great
I'm sure he's completely incapable	of understanding the
That's Pat Verona?	Pat Ver
Patrick Verona   Random	House, New York
Who's that?	I'm not sure
Don ' t you even	Don't you even know what you're doing
Oh, Bianca?	I'm sorry, but
Because I like to torture	people, I don't
Why is my veggie burger	so good?
Yeah, but then I fucked	up. I was
Is that right?	I'm not sure
Besides, I had some extra	time to think about
I thought you could use	a little more of that
A Fender Strat.	The Strat is
I didn't care about the	money. I just
Really?	I'm not sure if you
It wasn't like that.	I was just a
You were paid to take	a picture of me.
Wait I.	I'm not sure if
It gets worse -- you	can't just say,
That ' s completely adorable!	That's completely adorable!"I
That's where I was last	year. I was
What?	The first thing you need to
My grandmother's .	My grandmother's.......
Look, I'm  -- sorry	, I'm
Oh huh	. I'm not sure if I'm
It's just something I had.	I was just
It's Scurvy's.	The
How'd you get a tux	edo?
Nothing!	I'm not going to do it.
Answer the question, Patrick	.Patrick:
You need therapy.	"I'm not
You tell me.	What do you think?"
So I have to have	a lot of fun with
Create a little drama?	I think it
Because I don't want to.	I don't
Why not?	The problem is that the
No, I won't go with	that. I
No what?	I'm not sure what
No.	1,000,000,000,
You know what I mean	? I'm not going
Is that a request or	a request for a request
Go to the prom with	your friends and get ready
You're amazingly self-assured.	You're
No one else knows	what to do with the money
What?	The first thing you need to
You're sweet.	I'm not going to lie
No -- something real.	"I'm
I hate peas.	I hate peas. I hate
Tell me something true.	I'm not
I know the porn career's	been going on for
Hearsay.	com"I'm
The duck?	The duck is a duck
Fallacy.	The first of the three
State trooper?	The trooper who was shot
For.	The first thing I did was
You up for it?	The first thing
You never disappointed me.	I'm not going to
How?	The first thing you need to
Then you screwed up	."I'm
Something like that	."I'm not
So if you disappoint them	, you're not going
I don't like to do	that. I don
Yes	, I'm not sure if I'm going
Acting the way we do.	The
So what's your excuse?	I'm
Yeah, well, don't let it	get to
A soft side?	The answer is yes
I dazzled him with my	ability to read the
So how'd you get Chapin	to come to
Good call.	"I'm not going
I figured it had to	be a good one.
The Partridge Family?	The Partridge
Maybe.	"I'm not going to
You want me to climb	up the stairs?"
Forget it.	The first thing you
Put your right foot there	and you'll be able
Try lookin' at it from	the outside.
C'mon.	I'm not going to tell
I guess I never told	you that I was going
Look up, sunshine	, and you'll see that
He left!	"I'm sorry,
Other than my upchuck reflex?	
So what did I have	to do to get this
Don't for one minute think	that the world is
Unwelcome?	The first thing you
Unwelcome.	"I'm not
Wholesome.	The first thing I
Pleasant?	The answer is yes
You 're so --	You're so --'"I
I heard there was a	lot of talk about the
What are you doing here?	I'm
Excuse me, have you seen	the video of
No offense, but you're sister	. I'm
BIANCA	, CA - OCTOBER 27
Who?	The first thing you need to
He just wants me to	be happy. I want
So what ' s up	So what's up with that?
I'm gettin' there	, I'm get
Oh, so now you think	you're a good
You don't strike me as	a bad guy,
My father wouldn't approve of	it. He was
Start a band?	The band is a
This.	Is. It. A. Good.
Do what?	The answer is that the
I should do this.	I'm not going to
Why'd you lie?	I'm not
Then why'd you ask?	I'm
No, you weren't	there. You were there
Maybe.	"I'm not going to
Were you in jail?	I was in
Busy	.com/The following is
When you were gone last	night, you were gone
But it's Gigglepuss - I	'm
And I'm in control of	my life. I
What?	The first thing you need to
Kat!	The first thing I did was
You know what they say	about the 'good old
I thought you were above	me. I thought you
Hey man.	I'm not going to lie.
I know.	I'm not going to lie.
I hate him.	I hate him. I hate
Dorsey.	"I'm not
Who?	The first thing you need to
Why'd you let him get	away with it?"
Just let me sit down.	"I
See that?	The first thing you need
Like you could find one	of these, I'm
Because then I'd have to	go back to the
Why?	The answer is that the answer
Sure, I do	not know what the hell I
You don't care if I	'm a bad person
I told you	I was going to do it.
Why 're you doing this?	Why're you doing this?', you're
Leave it to you to	be a good friend.
This is so patronizing.	I'm
What if you have a	problem with the way you
I know, just let me	know if you have
Uh, uh.	I'm sorry. I'm
I just need to lie	down and relax. I
You're not okay.	You're not okay.
I'm fine.	I'm fine. I'm
Okay?	I'm not sure if you
Funny, you're the only one	who can
I say, do what you	want, but I
"I'm getting trashed, man.	I
What's this?	I'm not sure
Why, don't you?	I'm
You know who The Raincoats	are? They
You know, these guys are	going to be the
Do you mind?	I'm not sure
That's what you want, isn't	it?"
Excuse me?	I'm not sure
hey.	com/The following is a
Depends on the topic.	The following
You're not a big talker,	but you
Hi	. I'm sorry, but I'm not
I was in the laundromat.	I was
Are you following me?	I'm on
Seven-thirty?	"I'm
You -- covered in my	own blood -- I'm
Come on -- the ponies,	the ponies, the
And why would I do	that?I
Then say you'll spend Dollar	General on a new
I don't really think you	can do that.
You hate me don't you?	I'm not
I know a lot more	about the game than I
Like where?	The first thing I noticed
The night I take you	to the hospital, I
Oh, right.	I'm sorry. I'm
Pick you up Friday, then	you can get your
My mission in life.	I'm not
There's a way to get	rid of the old
Sweating like a pig, actually.	
I mean Wo-man.	I mean, I
Oh, Christ.	I'm sorry. I'm
When I go?	I'm not going to go
You know, fathers don't like	to be the
No -- impressed.	"I'm not
What's the matter?	The answer is
Bianca did what?	She was a woman
The part where Bianca beat	the other two was
Which parts?	The first part is the
Parts of it.	The first thing I
So tell me about this	.I'm
No, Daddy.	I'm not going to do
I don't understand the allure	of the idea
Funny.	I'm not sure if
Yeah.	I'm not going to lie. I
Was that your sister?	I'm not
I want to go to	the next level. I
You're eighteen.	You're a good girl.
So what I want doesn't	matter. I want
As a parent, that's my	job. I
Because you're making decisions for	yourself, you're
Why can't we agree on	something?"
I thought you were punishing	me for my actions.
Is this about Sarah Lawrence?	Sarah Lawrence
Then tell them I had	a problem with the way
My insurance does not cover	the cost of the surgery
Enough!	The first thing I did was
This from someone whose diary	I've read:
You decided.	"I'm not going
I thought we decided you	were going to be a
I know.	I'm not going to lie.
Just smack her now.	"I'm
Am I supposed to feel	like I was in a
No .	No.........
Tempestuous?	The answer is yes
The point is Kat --	who is a former member
I still maintain that he	was not a good player
Well, yes, compared to your	average, you
Expressing my opinion is not	a good idea.
Katarina Stratford.	The Russian
Yeah.	I'm not going to lie. I
Kat a fan, too?	"I
Right.	I'm not sure if you
Macbeth, right?	I'm
Oh yeah.	I'm not sure if I'm
You think?	I think it's a
Yeah.	I'm not going to lie. I
Cool pictures.	The first thing I did
Hi.	I'm sorry, but I'm not
Hey there.	I'm going to be here for
Man -- don't say shit	about me. I
Sweet love, renew thy force!	And
You were right.	I'm not sure I'm
No - I've got a	lot of work to
So you got cozy with	the guy who's been
I'm likin' you guys better	than I
I prefer to think of	it as a "d
Yeah.	I'm not going to lie. I
Ever been to Club Skunk?	I
Just for now.	The first thing I
Are you telling me I'm	not a good person
Good enough.	The first thing I noticed
What?	The first thing you need to
We're your guys.	We're your guys.
You two are gonna help	each other out. I
Patrick, Pat, you're not looking	at me
So Dorsey can get the	job done.
That's where we can help	. We're going
Dorsey can plow whoever he	wants into
I think I speak correctly	. I'm not saying
What is it with this	guy?I
The situation is, my man	, you're not
What plan?	The plan is to have
Whatever the hell it is	, it's not a
What?	The first thing you need to
Say it	like this:The first thing
See you next week!	Advertisements<|endoftext|>
You're completely demented.	You're completely insane
Well, you know -- there's	a lot of
You weren't abused, you aren't	abused,
What's to discuss?	The first thing
Why don't we discuss your	work?
I'm at a loss, then.	I'm
Touch of the flu.	The flu vaccine
I don't understand, Patrick.	I don't
With the teeth of your	teeth, you can use
It was a bratwurst.	It was
It says here you exposed	the truth about the war
I missed you.	I miss you.
That ' s what I	That's what I'm doing. I'm
Absolutely not.	I'm not going to tell you
Did I have anything to	say about it?"
Your daughters went to the	hospital, and they were
What just happened?	The first thing that
But -- who -- what	?"I
Have a great time, honey!	I
Dr.	J. M. and J. M
What do you wanna watch?	I'm
Kissing?	The answer is yes
They'll dance, they'll kiss, they'll	talk
Pirate -- no question.	The only
Would you rather be ravished	by the sight of
You're not helping.	You're not helping.
Tumescent!	The first thing I
Jesus!	I am a man of God
Sarah Lawrence is on the	show to talk about the
What's a synonym for throbbing?	
Make anyone cry today?	I'm not
In the microwave.	The microwave is a
Can't be that far, I	'm sure.
We left three weeks ago,	and I'm still
We should have seen land.	We should have seen
We'll all go crazy.	"I
He's the devil's child.	He's the
With a face like that?	"I
Ah, leave him alone.	"I
What are you listening to,	and what are you
You'll be drinking your own	beer, and you
The water's going putrid in	the water.
I never seen heat like	this before. I've
IF-GOD-WILLS-IT!	
Asia can be found to	be a very good place
Blind faith is what I	'm trying to do
Don't you realize your words	are not going to
Did He not choose a	different path?
If God intended our proximity	to the earth to be
No.	1,000,000,000,
Is that all that interests	you?I
Trade, Your Excellency.	The
If they agree to follow	the law, they will
Your life, and that of	your family, is
Your Eminence, there is only	one way to
Excellency, you are right.	I am
Senor Colon, an experienced captain	, was the
Then you cannot ignore that	.The only
I am, Your Eminence	, the President of
Unfortunately, Don Colon, that is	, the man
Yes, your Eminence.	I am
You say Asia can be	a great place to live
A waste.	The problem is that the
What a tragedy.	"I'm not
You can see for yourself.	The first
On the contrary, Your Eminence.	I am
It won't be easy to	get a job in
Indeed.	The problem is that the government
He is a mercenary!	He is a mercenary!
Naturally.	The first thing I noticed was
The Judgment is ours!	The Judgment is
The State has some reason	to be concerned about the
I can't keep my eyes	open. I'm
What is it, now?	It's
I am busy inside.	I am not going to
Can't you stay with us	?""
Not everything.	"I'm not going
They took everything.	They took everything. They took
They tried.	They tried to get me to sign
God.	The first thing I did was
I can arrange for the	rest of the team to
You don't usually ask.	"I
Beatrix, I want to ask	you a question
That's something you can't decide.	You can
I don't want you to	be a part of
I'm not asking you to	be a part of
Thank God.	I'm not sure if
She said yes.	"I'm not
I find that hard to	believe. I'm not
Perhaps I was never meant	to be a fan of
I'd love to argue with	you about this,
Are we going to argue?	I think
Well.	I'm not going to tell you what
I haven't given you much	time to think about
I know.	I'm not going to lie.
I could be gone for	a while, but I
I am afraid this is	not the case. I
How could I be?	I'm not
I am not a seaman.	I am not
How far from here?	The first step
Congratulations.	I'm not sure if you
Viceroy of the West Indies.	
Appointment to what?	The appointment is
My letters of appointment.	I am a
Yes.	I'm not sure if I'm going
Don Alonso de Bobadilla.	The
Bartolome and Giacomo Colon.	
May I ask by whom?	I ask
Forgive me, Don Bobadilla --	I
I understand that you will	be able to use the
Tell me the first thing	you want to know about
Really?	I'm not sure if you
I want you to tell	me what you think about
He never had one.	"I'm
He asks when he can	get a job.
What does he say?	"I'm
I am not listening, Father.	I am not
What are you listening to?	Download the
There must be a passage	in the Bible that says
Father.	The first thing I did was
Not bad.	The only problem is that
How are you feeling, Fernando?	I
This time with me!	I'm going
I have to explore the	possibility of a new way
Yes.	I'm not sure if I'm going
Do you swear on all	of this?"
You promise?	I promise.
There'll be a time.	"I
I want to go with	the best of both worlds
All of them created by	the same people.
Roofs.	The first thing I
What do you see?	I'm not
Look out of that window.	"I
I am not afraid of	the world. I am
Call them.	"I'm not going
All I have to do	is to get the word
To rise so high, in	the face of the
What.	I'm not sure what to
You seem to have a	lot of respect for the
Good!	I'm so glad you're here.
Don Bobadilla is already a	member of the
But we do have a	lot of work to do
for a commoner?	The answer is
You defend yourself admirably.	"
Forgive me, Don Colon.	I'm sorry
They don't see sin in	the world, but
If you won't accept our	offer, you may
And were you never ambitious,	or were you never
Then you are too ambitious.	You are
I'm not bargaining!	I'm not bargaining!"
I remind you, Senor Colon,	that the
NO.	The first thing I noticed was
No?	I'm not sure what to
No.	1,000,000,000,
You never learned how to	do it. You never
Utapan, won't you speak to	me about
You did the same to	me. I'm not
You have to find them,	and they're not
Ask him if he will	be able to get a
He understands.	He's a good guy. He
We will work with his	team to ensure that the
He has medicine.	He has a lot of money
Chief says.	"We're going to
and also to bring medicine.	The first
Chief says -- he has	been in the business for
To bring the word of	God to the people,
Why?	The answer is that the answer
Thousands.	The group said it was "
Chief says -- how many?	"I
Tell him his country is	not a democracy, but
Chief knows.	"I'm not going
Tell the Chief we thank	you for your service to
You come!	I'm here to help
Island.	The first of the two
What is it?	It's a simple
Say not here!	I am not here to kill
I don't know.	I don't know.
Oh?	"I'm not sure what
New worlds create new people.	The world
I knew you would.	I knew you would.
I have to disagree.	I think it's a
You'll always be older than	you are, and
I suppose we're both old	enough to remember that
Give me absolution.	I'm not
I believed in you.	I believed in you.
You are bound by an	agreement between you and the
My son, my son.	I'm sorry.
If I tell them, they	'll say, '
May God forgive you.	I am a
I am not sure.	I am not sure if
How long?	The answer is probably not
I lied.	I lied to the FBI. I
What are you saying?	"I'm
Father, I have betrayed my	father. I have
I am listening, my son.	I am listening
Forgive me, Father.	I am not a
In Nomine Patris et Filius,	"
Colon!	The first thing I did
All of them!	The first thing I
Damn all of you!	I'm sorry
Colon!	The first thing I did
Damn God!	I'm so sorry!"
If God intends you to	be a good man,
Wait!	I'm not going to be able to
You mustn't give way to	the idea that
Only God knows the meaning	of the word 'God
I've been contradicted all my	life. I've
You get so carried away	with the idea of a
Passion is something one cannot	do without.
Father Marchena!	"I'm
I'll try to remember that,	but I'm
Two minutes.	"I'm not going
So was Christ!	The first time I
Esdras is a Jew.	The
The calculations of Toscanelli Marin	, a professor
How can you be so	sure that you're not
Ignorance!	The first thing you
How can you be so	sure that you're not
To open a new route	, you'll need to
Why do you wish to	be a part of the
With some difficulty.	The first thing to
How did you manage it?	I was
That's what it says.	"I
God.	The first thing I did was
Father, I am doing what	I can to help
Diego is a bright boy	, but he's
Your Majesty -- some men	have been sent to the
There is one thing I'd	like to say to
Thank you.	I'm sorry, but
But without your brothers.	I'm not
They come and go as	they please, but they
Do they have such thoughts?	I don
Thirty seven, Your Majesty.	Your Majesty
How old are you, Senor	?"
A woman?	"I'm not sure
I know what I see.	I'm not going
You show no inclination to	be a good listener.
May I speak freely?	I am not
Surely you can do anything	you want with your
I cannot ignore the verdict	of the Supreme Court.
That she was impregnable.	"
What did they say about	it?"
The ocean is uncrossable?	The
No more than the woman	who was in the room
I should not even be	able to say that I
You will regret this.	"I will
You'll be held in detention,	and you'll
Savagery is what monkeys understand.	
In one act of brutality,	the police shot and
You did not hear me,	but I heard you
Don Moxica -- we all	know that M
My horse doesn't work.	I don't know
We can't raise the wheel	barrow. We
We came here to stay!	We're here to
We don't need to know.	We don't
You want a war?	You want a war?
If you want to keep	your money safe, you
We lost cousins, friends.	We lost our children
The Indians have no such	problem with the Indians.
And you say this is	a good thing, but
We can't be.	We're not going to
He's drawing an isthmus.	
What's he doing?	He's doing
Twenty eight.	The first of the three
What do you read?	I read the
Come over here.	I'm going to get you
Well, I surely know what	you're thinking.
And what do you think	?The following
Well.	I'm not going to tell you what
God be with us admiral.	"
Due west, Captain Mendez.	The
You're right.	I'm not sure I'm
You tell that to them!	"I
Pinzon, Pinzon.	The first
You bloody.	I'm not going to
You never did.	"I'm not
Jesus Maria!	I'm not sure if
And then what?	The answer is that
You don't know anything!	You're just a
The land is there.	It's there. It
We're lost!	The first thing I
You think I don't know	what to say?"
We're on the verge of	a major overhaul of
We have to keep the	focus on the game.
You must be mad.	I'm not
Six days ago, yes.	The first
You lied!	I lied! I lied! I
Immediately.	"I'm sorry,
Where can I meet this	guy?I
Because he is not afraid	of the consequences of his
Then why?	The answer is that the
I know, I should not	have done that.
And who would you think	would be the next president
He must be replaced.	"I'm
Then, what do you suggest,	Mr. President
Is this true, Brother Buyl?	
But there is worse.	The first thing
We weren't expecting immediate profits,	but we were
Every ship returns with a	new set of cards.
Yes.	I'm not sure if I'm going
Into a monk.	A monk is
Never, Your Majesty.	The Queen's
You were right, Don Sanchez.	I'm not
Yes, Your Majesty.	The Emperor's
Is that the man I	'm talking about?
Officers, there's your killer, do	you know
so we kill someone famous	for his or her work
I don't think it's abuse,	but it
I'm abused.	I'm abused. I'm
Can I see your back?	I'm
Out on my back when	I was a kid,
Your father put cigarettes out	of his mouth. He
That's what he did to	me. I was
Yeah, he hated me from	the start. He
Your father blamed you for	your father's death.
Yeah, yeah.	I'm not sure if I
Back in the Czech Republic?	The Czech
Yeah, she went blind giving	birth to a baby
Your mother was blind?	I don't
My father always degraded me.	I was always a
Tell me about yourself.	I'm a
Give me another one, please.	I
I need to know about	this. I'm not
What else do you need?	The following
This is not about money,	it's about the
Thirty-percent.	The study found that
But it's.	The problem is that
No.	1,000,000,000,
I would say.	I think it's a good
What's your cut?	I'm not
Look, I haven't really focused	on the game
What about my movie rights?	I'm
Don't worry about him.	He's not going
No, he is here.	He is here.
Disappeared.	The first time I
What about Oleg?	Oleg is
Well, you didn't appreciate the	fact that I
I was all of these.	I was all of
delusions and paranoia.	"I think
Oh, sure.	I'm not sure if I
You bring the cigarettes?	I don't
I brought you some letters.	I'm sorry,
I'm invoking rights - this	is a right that
Yes.	I'm not sure if I'm going
I'm coming with you.	I'm coming with
Where are we going?	The answer is
Don't say anything.	"I'm
He has the camera!	The camera is
Emil.	The first thing I noticed
Oh no!	I'm not going to do that
Here.	The first thing you need to
I'm not your lawyer until	you get a job
Are you my attorney?	I'm not
Daphne, I.	et al. (
I don't want to drag	my feet," he
Do you really want me	to be your girlfriend?"
