They do not!	The only thing that
You know French?	I know French.
Joey Dorsey?	Dorsey
He always have that shit-eating	grin on his
Because they're bred to.	"They
Why do girls like that	?I think
I could start with your	own words, but I
Why not?	The answer is that the
Bianca Stratford.	"I
Who is she?	She is a woman
You burn, you pine, you	die.
That girl -- I --	I don't know what
Yeah, but these guys have	been doing it for
That I'm used to.	I'm used to
Couple thousand.	"I'm not
How many people go here?	The number
Get out!	Get out! Get out!"
Thirty-two.	"I'm not
How many people were in	the room?
Yeah.	I'm not sure. I think it
I was kidding.	I'm not going to do
North, actually.	"I'm not
So -- which Dakota you	want to be?
C'mon.	You're not going to get
So they tell me.	I'm not
You the new guy?	I'm the
You get the girl.	The girl is
What's the worst?	The worst thing
Where?	The first thing you need to
She kissed me.	I was so happy. I
You makin' any headway?	
She just needs time to	heal," said the woman
She hates you with the	passion of a thousand sun
I don ' t know.	I don't know. I'm not
What'd you do to her?	"
Then, go get her	."I
Sure	, it's a bit of a stretch to
Cameron -- do you like	the idea of a
She's partial to Joey, not	because she's
What 're you talking about?	What're you talking about? I'm not
It's off.	"I'm not
Cameron, I'm a little busy	right now
Don't make me do it,	please."
Gigglepuss is playing there tomorrow	.
So what does that give	us?Well
Okay -- Likes:  Thai	food, Thai food
I've retrieved certain pieces of	information from the files
What've you got for me?	I
Yeah -- we'll see.	I'm
And he means that strictly	."I
And why would I do	that? I'm not
Leave my sister alone.	I'm not going to
Your sister here?	I'm sorry, I didn
Away.	"I'm not going
Where ya goin?	I'm gonna
Not at all	. I'm not a fan of
Hey -- do you mind?	I'm trying to
They're running the rest of	the way."
Yeah, and I noticed the	same thing. I
The vintage look is over,	and the new look
Enough with the Barbie n'	Ken stuff.
I don't know, Dorsey.	I don
Get her to act like	a normal person.
Do what?	The first thing to do
How'd you do it?	I'm
A deal's a deal.	"I
It's about time.	The first time
Forget her sister, then.	She's a
Forget it.	I'm not going to be
A hundred bucks a date.	"I
What?	I'm not sure. I
I just upped my price	to $99.
I got her under control.	I got her under
Watching the bitch trash my	car, I'm
I'm on it	. I'm on it.
When I shell out fifty,	sixty, or seventy
Fifty, and you've got your	own little
Take it or leave it.	The only
Fine, thirty.	"I'm sorry
I can't take a girl	to a movie,
How much?	The cost of a single
I can't date her sister	, but I can
You're gonna pay me to	do this?"
You got it, Verona.	The
But you'd go out with	him, and you
You need money to take	care of your family.
You just said	that you're not going to be
Sure, Sparky.	I'm not going to
Yeah, whatever.	I'm not going to be
Two legs, nice rack.	I'm
What do you think?	Do you think
Yeah	, I'm not going to lie to you
Hey -- it's all for	the best. I
You better not fuck this	up. I'm not
What?	I'm not sure. I
You and Verona?	I'm not
Uh,  yeah.	[Laughs]
I hear you're helpin' Verona.	I
So what you need to	do is to make sure
Does this conversation have a	happy ending?
But she can't go out	and do it.
We're not.	We're not. We're
Well, actually, I thought I'd	be able
We don't chat.	We don't talk.
Nope - just came by	to say hi.
Are you lost?	I'm not lost
Hey.	I'm sorry. I'm sorry.
Oh, honey -- tell me	about it.
William - he asked me	to come to the house
Who?	The first thing to note is
Have you seen him?	I've seen
Oh, good.	I'm glad you're here
You ' re looking at	You're looking at a very small sample size
Okay, okay, we won't go.	We
Listen to you!	I'm not going
Well, I guess we're not,	but I
Can you even imagine?	The first time
I got drunk.	I got high. I got
You didn't	have to do that. You could
I did Bianca a favor	and I'm going
You didn't have a choice?	I
I didn't have a choice.	I had to
You went to the party?	I went
Who cares?	The fact is that the
What'd he say?	"I'm
No fear.	I'm not afraid. I'm
You think this'll work?	I'm
If I was Bianca, it	would be a
Does it matter?	The answer is yes
I appreciate your efforts toward	the preservation of the history
Neither has his heterosexuality.	"I
That's never been proven	, but it's a
William didn't even go to	the bathroom. He
William would never have gone	to the police. He
So he has this huge	, huge, huge,
You could always go with	a more traditional approach,
The people at this school	are very good at what
But imagine the things he'd	do if he had
I realize that the men	who are in the military
An attempted slit.	The knife was found
What's this?	A new game?
Just a little.	"I'm not
Mandella, eat.	"I'm
Block E?	The first thing to note
He always look so	happy. He always look so
I'm sure he's completely incapable	of doing anything
That's Pat Verona?	Yes,
Patrick Verona   Random	
Who's that?	That's the guy
Don ' t you even	Don't you even know what a's
Oh, Bianca?	You're not going to
Because I like to torture	myself, I've been
Why is my veggie burger	so soft?
Yeah, but then I fucked	up. I was
Is that right?	A: Yes.
Besides, I had some extra	time on my hands
I thought you could use	a little help, so
A Fender Strat.	The guitar is
I didn't care about the	money. I just
Really?	I'm not sure I understand.
It wasn't like that.	I was just a
You were paid to take	the money and run.
Wait I.	Am. Not. Going. To
It gets worse -- you	can't even get a
That ' s completely adorable!	That's completely adorable!"I
That's where I was last	night. I was
What?	I'm not sure. I
My grandmother's .	My grandmother's..."I
Look, I'm  -- sorry	, I'm
Oh huh	, I see. I guess I'll
It's just something I had.	I'm not
It's Scurvy's.	"
How'd you get a tux	edo?"
Nothing!	I'm not going to do that!"
Answer the question, Patrick	.Patrick:
You need therapy.	You need to get help.
You tell me.	I'm not sure
So I have to have	a little bit of a
Create a little drama?	The first thing
Because I don't want to.	I don't
Why not?	The answer is that the
No, I won't go with	you. I
No what?	I'm not sure what
No.	1)The first thing you
You know what I mean	? I'm not saying
Is that a request or	a command?
Go to the prom with	your best friend.
You're amazingly self-assured.	You're
No one else knows	what's going on.
What?	I'm not sure. I
You're sweet.	I'm sorry I didn't
No -- something real.	"I'm
I hate peas.	I hate peas. I hate
Tell me something true.	What is the most important
I know the porn career's	not for everyone,
Hearsay.	(a) A
The duck?	The duck?
Fallacy.	The fallacy is the fallacy
State trooper?	A: Yes.
For.	The first thing you need to
You up for it?	I'm up
You never disappointed me.	I'm so happy to
How?	The answer is simple.
Then you screwed up	.You're not
Something like that	."I'm not
So if you disappoint them	, they will be disappointed
I don't like to do	that. I don
Yes	, I'm a big fan of the show
Acting the way we do.	The
So what's your excuse?	The answer
Yeah, well, don't let it	get to
A soft side?	The soft side is
I dazzled him with my	beauty, and he
So how'd you get Chapin	's attention?
Good call.	"I'm not sure
I figured it had to	be a mistake. I
The Partridge Family?	The Partridge
Maybe.	I'm not sure.
You want me to climb	up on the table and
Forget it.	I'm not going to be
Put your right foot there	, and your left foot
Try lookin' at it from	a different angle
C'mon.	You're not going to get
I guess I never told	you about the time I
Look up, sunshine	.I'm not
He left!	"I'm sorry,
Other than my upchuck reflex?	
So what did I have	to do to get the
Don't for one minute think	that the only reason
Unwelcome?	The first thing you
Unwelcome.	"I'm not
Wholesome.	The first thing you
Pleasant?	I'm not sure
You 're so --	You're so --""I
I heard there was a	new album coming out,
What are you doing here?	"I
Excuse me, have you seen	the news?"
No offense, but you're sister	is a bit
BIANCA	, CA 94940Sells
Who?	The first thing to note is
He just wants me to	be happy," she said
So what ' s up	So what's up with the's?
I'm gettin' there	. I'm getting
Oh, so now you think	I'm a bad
You don't strike me as	someone who's going
My father wouldn't approve of	me being a woman
Start a band?	I've been playing
This.	"I'm not sure what
Do what?	The first thing to do
I should do this.	I should do that.
Why'd you lie?	I'm not
Then why'd you ask?	"I
No, you weren't	. You were just a
Maybe.	I'm not sure.
Were you in jail?	I was in
Busy	box is a tool that allows you to
When you were gone last	time, I was so
But it's Gigglepuss - I	'm
And I'm in control of	my own destiny.
What?	I'm not sure. I
Kat!	I'm not sure if you
You know what they say	about the best laid plans
I thought you were above	that.""
Hey man.	I'm not going to lie to
I know.	I'm sorry. I'm sorry
I hate him.	I hate him. I hate
Dorsey.	"I think it
Who?	The first thing to note is
Why'd you let him get	away?"
Just let me sit down.	I'll be right
See that?	That's the difference between a good
Like you could find one	in a box of cereal
Because then I'd have to	go to the bathroom
Why?	Because it's a good thing.
Sure, I do	. I'm not a fan
You don't care if I	'm a woman or
I told you	, I'm not going to let
Why 're you doing this?	Why're you doing this?I
Leave it to you to	make a movie about a
This is so patronizing.	I'm not a
What if you have a	problem with the way the
I know, just let me	get this straight.
Uh, uh.	I'm sorry. I'm
I just need to lie	down for a bit."
You're not okay.	You're not okay.
I'm fine.	I'm fine. I'm
Okay?	I'm not going to be a part
Funny, you're the only one	who's
I say, do what you	want. I'm
"I'm getting trashed, man.	I
What's this?	A new game?
Why, don't you?	I'm
You know who The Raincoats	are? They
You know, these guys are	just like us.
Do you mind?	I'm just trying to get
That's what you want, isn't	it?
Excuse me?	"I'm sorry
hey.	"I'm not sure what
Depends on the topic.	I'm
You're not a big talker,	are you
Hi	, I'm a new member of the community
I was in the laundromat.	I was
Are you following me?	I'm not
Seven-thirty?	I'm not
You -- covered in my	cum. I'm going
Come on -- the ponies,	the ponies, the
And why would I do	that? I'm not
Then say you'll spend Dollar	1,000 on
I don't really think you	can do that,"
You hate me don't you?	You hate me
I know a lot more	about the game than I
Like where?	I'm not sure.
The night I take you	to the dance, I
Oh, right.	I'm sorry. I'm
Pick you up Friday, then	we'll see you
My mission in life.	I'm a
There's a way to get	around this, and
Sweating like a pig, actually.	
I mean Wo-man.	"I
Oh, Christ.	I'm sorry. I'm
When I go?	I'm going to
You know, fathers don't like	to be told
No -- impressed.	"I'm not
What's the matter?	You're not going to
Bianca did what?	"I
The part where Bianca beat	up a guy in
Which parts?	The first thing to do
Parts of it.	The first thing you
So tell me about this	new thing you're working
No, Daddy.	I'm not going to be
I don't understand the allure	of the "
Funny.	"I'm not sure
Yeah.	I'm not sure. I think it
Was that your sister?	I'm sorry
I want to go to	the beach, but I
You're eighteen.	You're a grown man.
So what I want doesn't	matter. What I
As a parent, that's my	job. I
Because you're making decisions for	the future, you
Why can't we agree on	the facts?"
I thought you were punishing	me for my actions."
Is this about Sarah Lawrence?	No.
Then tell them I had	a great time.
My insurance does not cover	the cost of the surgery
Enough!	I'm not going to let you do
This from someone whose diary	is filled with the most
You decided.	"I'm not going
I thought we decided you	were going to be a
I know.	I'm sorry. I'm sorry
Just smack her now.	I'll be right back
Am I supposed to feel	bad for the guy?
No .	No.........
Tempestuous?	The weather in the
The point is Kat --	you're not going to
I still maintain that he	was a great player,
Well, yes, compared to your	average person,
Expressing my opinion is not	the same as being
Katarina Stratford.	"I
Yeah.	I'm not sure. I think it
Kat a fan, too?	I'm
Right.	I'm not sure what you
Macbeth, right?	"I
Oh yeah.	I'm going to be a big
You think?	I think it's a
Yeah.	I'm not sure. I think it
Cool pictures.	The first thing I noticed
Hi.	I'm a little late to the party
Hey there.	I'm the guy who's going
Man -- don't say shit	about me.
Sweet love, renew thy force!	Th
You were right.	I was wrong. I was
No - I've got a	lot of work to
So you got cozy with	the guy who's going
I'm likin' you guys better	than the
I prefer to think of	it as a "s
Yeah.	I'm not sure. I think it
Ever been to Club Skunk?	Club
Just for now.	"I'm not
Are you telling me I'm	not allowed to have
Good enough.	"I'm not sure
What?	I'm not sure. I
We're your guys.	We're the guys who
You two are gonna help	me out here. I
Patrick, Pat, you're not looking	at the
So Dorsey can get the	ball to the open
That's where we can help	.We
Dorsey can plow whoever he	wants,
I think I speak correctly	. I think I speak
What is it with this	guy?I
The situation is, my man	, that you are
What plan?	The plan is to have
Whatever the hell it is	, it's not going
What?	I'm not sure. I
Say it	with me, I'm not a liar
See you next week!	<|endoftext|>
You're completely demented.	You're a complete
Well, you know -- there's	a lot of
You weren't abused, you aren't	a bad
What's to discuss?	The first thing
Why don't we discuss your	ideas?
I'm at a loss, then.	I'm
Touch of the flu.	The flu is
I don't understand, Patrick.	I don't
With the teeth of your	teeth, the teeth of
It was a bratwurst.	
It says here you exposed	yourself to the risk of
I missed you.	I missed you so much.
That ' s what I	That's what I'm talking about.
Absolutely not.	I'm not going to be a
Did I have anything to	do with the death of
Your daughters went to the	school, and I was
What just happened?	The first thing to
But -- who -- what	?"I
Have a great time, honey!	-
Dr.	John C. Gartner, a
What do you wanna watch?	I wanna
Kissing?	I'm not sure
They'll dance, they'll kiss, they'll	be
Pirate -- no question.	"I
Would you rather be ravished	by a beautiful woman
You're not helping.	You're not helping.
Tumescent!	The Tumescent
Jesus!	I am a Christian. I
Sarah Lawrence is on the	verge of a major shake
What's a synonym for throbbing?	
Make anyone cry today?	I'm not
In the microwave.	In the oven.
Can't be that far, I	thought.
We left three weeks ago,	and I'm still
We should have seen land.	We should have seen
We'll all go crazy.	"I
He's the devil's child.	He's the
With a face like that?	"I
Ah, leave him alone.	I'm not going
What are you listening to,	Mr. President?"
You'll be drinking your own	urine, and you
The water's going putrid in	here. I
I never seen heat like	this in my life.
IF-GOD-WILLS-IT!	
Asia can be found to	be the most popular destination
Blind faith is what I	have. I have
Don't you realize your words	are hurting me?"
Did He not choose a	wife for himself, that
If God intended our proximity	to the sun to be
No.	1)The first thing you
Is that all that interests	you?I
Trade, Your Excellency.	The
If they agree to follow	the rules, they will
Your life, and that of	your loved ones,
Your Eminence, there is only	one thing I
Excellency, you are right.	I am
Senor Colon, an experienced captain	, was the
Then you cannot ignore that	the people who are most
I am, Your Eminence	, very grateful for
Unfortunately, Don Colon, that is	not the case
Yes, your Eminence.	Your Emin
You say Asia can be	a place of peace and
A waste.	"I'm not going
What a tragedy.	The only thing that
You can see for yourself.	The first
On the contrary, Your Eminence.	I am
It won't be easy to	get the job done
Indeed.	"I'm not sure what
He is a mercenary!	He is a mercenary!"
Naturally.	"I'm not sure what
The Judgment is ours!	The Judgment is
The State has some reason	to believe that the defendant
I can't keep my eyes	off of you.
What is it, now?	It's
I am busy inside.	I am not going to
Can't you stay with us	?""
Not everything.	The first thing I noticed
They took everything.	They took my car, my
They tried.	They tried. They tried. They
God.	The Bible is the word of
I can arrange for the	delivery of the goods to
You don't usually ask.	"I
Beatrix, I want to ask	you a question
That's something you can't decide.	You can
I don't want you to	be a slave to
I'm not asking you to	do anything you don
Thank God.	I'm not going to be able
She said yes.	"I was so
I find that hard to	believe. I think it
Perhaps I was never meant	to be a writer.
I'd love to argue with	you about this,
Are we going to argue?	"I
Well.	I'm not sure. I think it
I haven't given you much	to work with,
I know.	I'm sorry. I'm sorry
I could be gone for	a week, and I
I am afraid this is	not the case. I
How could I be?	I was a good girl
I am not a seaman.	I am a
How far from here?	The distance from
Congratulations.	I'm not sure if you
Viceroy of the West Indies.	
Appointment to what?	The appointment to
My letters of appointment.	I have been
Yes.	Q: What is the difference
Don Alonso de Bobadilla.	The
Bartolome and Giacomo Colon.	
May I ask by whom?	A.
Forgive me, Don Bobadilla --	I
I understand that you will	be able to get a
Tell me the first thing	that comes to mind when
Really?	I'm not sure I understand.
I want you to tell	me what you think of
He never had one.	He was a very good
He asks when he can	get a job.
What does he say?	"I'm
I am not listening, Father.	I am not
What are you listening to?	I'm
There must be a passage	of time between the time
Father.	"I'm sorry, I
Not bad.	The next day, I
How are you feeling, Fernando?	F
This time with me!	I'm not
I have to explore the	world, and I have
Yes.	Q: What is the difference
Do you swear on all	that is holy that you
You promise?	I promise.
There'll be a time.	"I
I want to go with	the flow. I want
All of them created by	the same person.
Roofs.	The new roof will
What do you see?	I see a
Look out of that window.	"I
I am not afraid of	the dark. I am
Call them.	The first time I saw
All I have to do	is get the ball to
To rise so high, in	the face of such
What.	I'm not sure what to
You seem to have a	lot of questions about the
Good!	I'm glad you like it. I
Don Bobadilla is already a	well-known
But we do have a	lot of work to do
for a commoner?	"I don
You defend yourself admirably.	You're a
Forgive me, Don Colon.	I have been
They don't see sin in	the world, they
If you won't accept our	terms, we won
And were you never ambitious,	or did you never
Then you are too ambitious.	You want to be
I'm not bargaining!	I'm not bargaining!"
I remind you, Senor Colon,	that the
NO.	1:"I think it
No?	I'm not sure.
No.	1)The first thing you
You never learned how to	be a man, you
Utapan, won't you speak to	me?"
You did the same to	me, you know."
You have to find them,	and you have to
Ask him if he will	be a good father to
He understands.	He's a good guy. He
We will work with his	family to ensure that they
He has medicine.	He has a lot of medicine
Chief says.	"I'm not sure
and also to bring medicine.	The first
Chief says -- he has	no idea what's going
To bring the word of	God to the people,
Why?	Because it's a good thing.
Thousands.	The number of people who have
Chief says -- how many?	"I
Tell him his country is	a joke.
Chief knows.	"I'm not going
Tell the Chief we thank	you for your service and
You come!	Come on!""I
Island.	The island is a popular
What is it?	The "C"
Say not here!	I am not here
I don't know.	I don't know.
Oh?	You're not going to tell me what
New worlds create new people.	The world
I knew you would.	I knew you would.
I have to disagree.	I think that the way
You'll always be older than	me, but I
I suppose we're both old	enough to know that
Give me absolution.	I want to be forgiven
I believed in you.	I believed in you.
You are bound by an	oath to protect the innocent
My son, my son.	I'm sorry.
If I tell them, they	'll think I'm
May God forgive you.	I'm sorry
I am not sure.	I think it's a
How long?	The first time I saw
I lied.	I lied. I lied. I
What are you saying?	"I'm
Father, I have betrayed my	father. I have
I am listening, my son.	I am listening
Forgive me, Father.	I have sinned
In Nomine Patris et Filius,	the
Colon!	The colon is the first
All of them!	The first thing I
Damn all of you!	I'm going to kill
Colon!	The colon is the first
Damn God!	I'm so sorry, I didn
If God intends you to	be happy, you will
Wait!	I'm not done yet! I'm
You mustn't give way to	your emotions.
Only God knows the meaning	of the words of the
I've been contradicted all my	life," he said
You get so carried away	with the idea of the
Passion is something one cannot	control. It is
Father Marchena!	The first time
I'll try to remember that,	but I'm
Two minutes.	"I'm not going
So was Christ!	The Bible says that
Esdras is a Jew.	The
The calculations of Toscanelli Marin	and his colleagues
How can you be so	sure?The
Ignorance!	The only thing that
How can you be so	sure?The
To open a new route	, click the "Route
Why do you wish to	be a member of the
With some difficulty.	"I'm not
How did you manage it?	I was
That's what it says.	"I
God.	The Bible is the word of
Father, I am doing what	I can to help
Diego is a bright boy	, but he's
Your Majesty -- some men	are not meant to be
There is one thing I'd	like to say about
Thank you.	I'm sorry.
But without your brothers.	"I'm
They come and go as	they please, and they
Do they have such thoughts?	"I
Thirty seven, Your Majesty.	"I
How old are you, Senor	?"
A woman?	A man?
I know what I see.	I know what I
You show no inclination to	do so.
May I speak freely?	I am not
Surely you can do anything	you want to do
I cannot ignore the verdict	of the court," he
That she was impregnable.	"
What did they say about	the new album?
The ocean is uncrossable?	The
No more than the woman	who has a baby with
I should not even be	here. I should be
You will regret this.	You will regret
You'll be held in detention,	and you'll
Savagery is what monkeys understand.	
In one act of brutality,	the police shot and
You did not hear me,	you did not hear
Don Moxica -- we all	know him as
My horse doesn't work.	I'm not going
We can't raise the wheel	barrow, we
We came here to stay!	"We
We don't need to know.	We don't
You want a war?	You want a war?
If you want to keep	your data safe, you
We lost cousins, friends.	We lost a lot
The Indians have no such	problem. They have a
And you say this is	a good thing?
We can't be.	We can't be.
He's drawing an isthmus.	
What's he doing?	He's just
Twenty eight.	"I'm not sure
What do you read?	I read a
Come over here.	I want to talk to you
Well, I surely know what	you mean. I
And what do you think	of the new "Star
Well.	I'm not sure. I think it
God be with us admiral.	[
Due west, Captain Mendez.	Captain
You're right.	I'm sorry. I'm
You tell that to them!	"I
Pinzon, Pinzon.	Pine
You bloody.	You bloody bastard. You bloody bastard
You never did.	You never did. You never
Jesus Maria!	I am so sorry for
And then what?	"I don't
You don't know anything!	You're just a
The land is there.	The water is there.
We're lost!	We're lost! We're
You think I don't know	what I'm talking
We're on the verge of	a new era of
We have to keep the	pressure on the government to
You must be mad.	"I'm
Six days ago, yes.	I'm
You lied!	You lied! You lied! You
Immediately.	"I'm not going
Where can I meet this	guy?I
Because he is not afraid	to say what he thinks
Then why?	Because the people who are
I know, I should not	have said that.
And who would you think	would be the most likely
He must be replaced.	"I think
Then, what do you suggest,	Mr. President
Is this true, Brother Buyl?	
But there is worse.	The government has also been
We weren't expecting immediate profits,	but we were
Every ship returns with a	few things, but the
Yes.	Q: What is the difference
Into a monk.	The monk is
Never, Your Majesty.	I'm sorry
You were right, Don Sanchez.	I'm not
Yes, Your Majesty.	I'm sorry, but
Is that the man I	'm looking for?"
Officers, there's your killer, do	you know
so we kill someone famous	, and then we get
I don't think it's abuse,	but it
I'm abused.	I'm abused. I'm
Can I see your back?	I'm
Out on my back when	I was a kid,
Your father put cigarettes out	for you to smoke.
That's what he did to	me. He was
Yeah, he hated me from	the start. He
Your father blamed you for	the death of his wife
Yeah, yeah.	I'm not going to lie
Back in the Czech Republic?	The Czech
Yeah, she went blind giving	birth to her son
Your mother was blind?	Yes.
My father always degraded me.	He said I was
Tell me about yourself.	I'm a
Give me another one, please.	I
I need to know about	the other side of the
What else do you need?	The first
This is not about money,	it's about the
Thirty-percent.	"I'm not
But it's.	It's a very, very
No.	1)The first thing you
I would say.	"I think it
What's your cut?	I'm not
Look, I haven't really focused	on the details
What about my movie rights?	If you
Don't worry about him.	He's a good
No, he is here.	He is here.
Disappeared.	The first time I
What about Oleg?	Oleg is
Well, you didn't appreciate the	fact that I
I was all of these.	I was a little
delusions and paranoia.	The first step
Oh, sure.	I'll take it. I
You bring the cigarettes?	No, I
I brought you some letters.	I brought you some
I'm invoking rights - this	is a right to
Yes.	Q: What is the difference
I'm coming with you.	I'm coming with
Where are we going?	We're going
Don't say anything.	I'm not going to
He has the camera!	The camera is
Emil.	"I'm not sure
Oh no!	I'm not going to be able
