In that case, we'll need	to get you a new
This is it.	This is the
Like we had a choice?	”
You got him involved?	I had to
Hey -- I've gotta have	a drink.
I thought you hated those	things," I said.
You know, if you do	that, you'll never
That's what I just said	.""No
Did she actually say she'd	be there?"
Forget his reputation.	Forget his
I'm serious, man, he's whacked.	I'm not
They always let felons sit	on juries.
No kidding.	"I'm
He seems like he thrives	on chaos.
What makes you think he'll	be there?"
You wanna go out with	me tonight?
What about him?	He's a
Unlikely, but even so, she	was going to have to
I teach her French, get	her to do her homework
The mewling, rampalian wretch herself.	The mew
That's her?	Yes.
Yeah, just a minor encounter	with a couple of the
You could consecrate with her,	but I don't think
You mean I'd get a	chance to see you naked
Guess who just signed up	for a new blog?
Sure do .	. .I
You know French?	Yes, I
Joey Dorsey?	Joey Dor
He always have that shit-eating	grin on his face.
Because they're bred to.	The vast majority
Why do girls like that	?There is
I could start with your	nameYour name
Why not?	There are a
Bianca Stratford.	Bianca
Who is she?	She is a
You burn, you pine, you	perish,The
That girl -- I --	I -- I -- I
Yeah, but these guys have	been around for a long
That I'm used to.	I'm not
Couple thousand.	I'm not
How many people go here?	There is no
Get out!	I'm not
Thirty-two.	I'm thirty
How many people were in	the room?
Yeah.	I'm not sure what
I was kidding.	I'm sorry
North, actually.	The North Pole
So -- which Dakota you	want?I
C'mon.	Let's go."
So they tell me.	I don't
You the new guy?	Yes, I
You get the girl.	You get the
What's the worst?	The worst is
Where?	The conference will
She kissed me.	I was so
You makin' any headway?	I'm making
She just needs time to	get used to the idea
She hates you with the	passion of a thousand burning
I don ' t know.	I don't
What'd you do to her?	I don't
Then, go get her	.I can
Sure	ly, the Lord is
Cameron -- do you like	it?I
She's partial to Joey, not	me.""
What 're you talking about?	I'm not
It's off.	I'm sorry
Cameron, I'm a little busy	right now."
Don't make me do it,	I'll do it.
Gigglepuss is playing there tomorrow	night.I
So what does that give	us?It
Okay -- Likes:  Thai	food, sushi, Chinese
I've retrieved certain pieces of	information from the database,
What've you got for me?	I have a
Yeah -- we'll see.	I'm not
And he means that strictly	."I
And why would I do	that?""
Leave my sister alone.	You're being
Your sister here?	No, my
Away.	com.The
Where ya goin?	I'm going
Not at all	. I'm just a
Hey -- do you mind?	What?
They're running the rest of	the way."
Yeah, and I noticed the	same thing. I think
The vintage look is over,	” says the designer
Enough with the Barbie n'	Ken stuff, I'm
I don't know, Dorsey.	I'm not sure I
Get her to act like	a ladyThere
Do what?	There is no
How'd you do it?	I used a
A deal's a deal.	I'll keep
It's about time.	I'm going
Forget her sister, then.	I forgot her
Forget it.	I'm not going to
A hundred bucks a date.	I'm not
What?	The word "
I just upped my price	to $1,000
I got her under control.	I got her
Watching the bitch trash my	house.I
I'm on it	," she said.
When I shell out fifty,	I want to be able
Fifty, and you've got your	money.""
Take it or leave it.	I'll take
Fine, thirty.	But I'm not going
I can't take a girl	like you out in public
How much?	The cost of
I can't date her sister	There is no
You're gonna pay me to	do that?"
You got it, Verona.	”
But you'd go out with	me if I asked you
You need money to take	care of your family.
You just said	that you were going to
Sure, Sparky.	”
Yeah, whatever.	”
Two legs, nice rack.	This phrase is
What do you think?	I think that
Yeah	, I know. I
Hey -- it's all for	you.I
You better not fuck this	up,” he
What?	The word "
You and Verona?	Yes, we
Uh,  yeah.	I'm fine."
I hear you're helpin' Verona.	I am.
So what you need to	do is to make sure
Does this conversation have a	purpose?The
But she can't go out	like that."
We're not.	We're not going to
Well, actually, I thought I'd	ask you to come with
We don't chat.	We don't
Nope - just came by	to see if you were
Are you lost?	I'm not
Hey.	I'm a little busy
Oh, honey -- tell me	what's wrong."
William - he asked me	to marry him
Who?	The author of
Have you seen him?	I haven't
Oh, good.	I was hoping you'd
You ' re looking at	meI '
Okay, okay, we won't go.	But I'm not going
Listen to you!	You're not
Well, I guess we're not,	are we?"
Can you even imagine?	I can
I got drunk.	I got drunk
You didn't	tell me you were going
I did Bianca a favor	.I did
You didn't have a choice?	I didn't
I didn't have a choice.	I had to
You went to the party?	Yes, I
Who cares?	I don't
What'd he say?	He said that
No fear.	I will not let you
You think this'll work?	It's worth
If I was Bianca, it	would be a difficult decision
Does it matter?	It might.
I appreciate your efforts toward	a resolution.
Neither has his heterosexuality.	The actor,
That's never been proven	," she said.
William didn't even go to	the funeral.
William would never have gone	to the party if he
So he has this huge	, huge, huge,
You could always go with	a simple, classic look
The people at this school	are very friendly and welcoming
But imagine the things he'd	say if he could talk
I realize that the men	who are in the military
An attempted slit.	The victim was
What's this?	This is a
Just a little.	I'm not
Mandella, eat.	”
Block E?	There is no
He always look so	serious.He
I'm sure he's completely incapable	of it."
That's Pat Verona?	Yeah.
Patrick Verona   Random	Guy
Who's that?	That's my
Don ' t you even	think about it
Oh, Bianca?	She's a sweet girl
Because I like to torture	myself.I
Why is my veggie burger	dry?There
Yeah, but then I fucked	up and got pregnant.
Is that right?	Yes, that
Besides, I had some extra	time on my hands.
I thought you could use	a little help."
A Fender Strat.	A Fender
I didn't care about the	money. I just wanted
Really?	I don't
It wasn't like that.	I was just trying to
You were paid to take	the fall for the murder
Wait I.	I'm not
It gets worse -- you	can't even use the
That ' s completely adorable!	I absolutely love
That's where I was last	night.I
What?	I'm sorry
My grandmother's .	My grandmother's
Look, I'm  -- sorry	, I'm not a
Oh huh	, I didn't know
It's just something I had.	I don't
It's Scurvy's.	Scurvy
How'd you get a tux	edo?""
Nothing!	I am not
Answer the question, Patrick	What is your
You need therapy.	I think you
You tell me.	I think that
So I have to have	a lot of patience.
Create a little drama?	Yes.
Because I don't want to.	Because I don
Why not?	There are a
No, I won't go with	you.I
No what?	”
No.	I'm not."
You know what I mean	.I mean
Is that a request or	a command?"
Go to the prom with	meI would
You're amazingly self-assured.	Thank you.
No one else knows	what I know.
What?	The word "
You're sweet.	I'm glad
No -- something real.	I'm sorry
I hate peas.	I hate peas
Tell me something true.	The sun will
I know the porn career's	not going to last forever
Hearsay.	The witness's
The duck?	The duck is
Fallacy.	md--
State trooper?	”
For.	get(i).get
You up for it?	I'm up
You never disappointed me.	You never disappointed
How?	The easiest way
Then you screwed up	.I screwed
Something like that	users of social networking for
So if you disappoint them	, they will be disappointed
I don't like to do	that.I
Yes	, I know. I
Acting the way we do.	Our actions are
So what's your excuse?	I'm sorry
Yeah, well, don't let it	get to you. I
A soft side?	I am a
I dazzled him with my	smile. "I'm
So how'd you get Chapin	to let you go?"
Good call.	I'm not
I figured it had to	be a bug in the
The Partridge Family?	The Partridge
Maybe.	I don't
You want me to climb	that?""
Forget it.	I'm not going to
Put your right foot there	I can't
Try lookin' at it from	the other side.
C'mon.	Let's go."
I guess I never told	you that I was a
Look up, sunshine	.The sun
He left!	He left!
Other than my upchuck reflex?	I'm not
So what did I have	to do?
Don't for one minute think	that you can get away
Unwelcome?	The word
Unwelcome.	”
Wholesome.	The word wholes
Pleasant?	The weather was
You 're so --	You're so
I heard there was a	fire in the city
What are you doing here?	I'm here
Excuse me, have you seen	my friend?
No offense, but you're sister	is a little bit of
BIANCA	I don't
Who?	The author of
He just wants me to	be happy.
So what ' s up	?I don
I'm gettin' there	, I'm gettin
Oh, so now you think	you're a comedian,
You don't strike me as	the kind of person who
My father wouldn't approve of	you," she said.
Start a band?	1. Choose
This.	get(0).get
Do what?	There is no
I should do this.	I should do
Why'd you lie?	I lied because
Then why'd you ask?	I was just
No, you weren't	. You were just a
Maybe.	I don't
Were you in jail?	No, I
Busy	= false;
When you were gone last	night, I was so
But it's Gigglepuss - I	mean, it's a
And I'm in control of	my own life
What?	I'm sorry
Kat!	I'm sorry
You know what they say	, “If you
I thought you were above	that," she said.
Hey man.	What's up
I know.	I'm sorry."
I hate him.	I hate him
Dorsey.	The company has
Who?	The author of
Why'd you let him get	away?""
Just let me sit down.	I'm not
See that?	That's a little bit
Like you could find one	in a bar
Because then I'd have to	kill you."
Why?	The United States
Sure, I do	.I'm
You don't care if I	'm a man or a
I told you	I was going to make
Why 're you doing this?	There could be
Leave it to you to	find a way to make
This is so patronizing.	I'm sorry
What if you have a	lot of data?
I know, just let me	finish. I was going
Uh, uh.	I'm sorry
I just need to lie	down for a minute.
You're not okay.	You're not okay.
I'm fine.	I'm fine."
Okay?	”
Funny, you're the only one	who's called me that
I say, do what you	want, but I'm
"I'm getting trashed, man.	I'm gonna get so
What's this?	This is a
Why, don't you?	I don't
You know who The Raincoats	are, right?
You know, these guys are	going to be around for
Do you mind?	No, I
That's what you want, isn't	it?""
Excuse me?	”
hey.	com/http
Depends on the topic.	Some topics are
You're not a big talker,	are you?"
Hi	,I am
I was in the laundromat.	I was in
Are you following me?	I'm not
Seven-thirty?	That's a bit late
You -- covered in my	bloodYou --
Come on -- the ponies,	the ponies!
And why would I do	that?""
Then say you'll spend Dollar	I'll spend
I don't really think you	can compare the two.
You hate me don't you?	I don't
I know a lot more	about the world than you
Like where?	I don't
The night I take you	to the movies
Oh, right.	I forgot."
Pick you up Friday, then	?""Sure
My mission in life.	I want to
There's a way to get	around this, but it
Sweating like a pig, actually.	I’
I mean Wo-man.	I mean,
Oh, Christ.	I'm sorry."
When I go?	I'll go
You know, fathers don't like	to see their daughters with
No -- impressed.	I'm not
What's the matter?	I'm worried
Bianca did what?	Bianca
The part where Bianca beat	up the guy who was
Which parts?	The parts that
Parts of it.	The first part
So tell me about this	new project you're working
No, Daddy.	I'm not going to
I don't understand the allure	of the game.
Funny.	I was just thinking about
Yeah.	I'm not sure what
Was that your sister?	No, that
I want to go to	the beachI
You're eighteen.	You're an adult.
So what I want doesn't	exist?There
As a parent, that's my	biggest fear," said the
Because you're making decisions for	yourself, you're not
Why can't we agree on	anything?There
I thought you were punishing	me for being late."
Is this about Sarah Lawrence?	No, this
Then tell them I had	to leave early.
My insurance does not cover	thisIf your
Enough!	The next day
This from someone whose diary	is full of entries like
You decided.	I decided to
I thought we decided you	were going to stay here
I know.	I'm sorry."
Just smack her now.	I'm not
Am I supposed to feel	guilty about this?
No .	'</td>
Tempestuous?	The word "
The point is Kat --	KATIE
I still maintain that he	is a good guy.
Well, yes, compared to your	average person, I am
Expressing my opinion is not	a crime.
Katarina Stratford.	Katarina
Yeah.	I'm not sure what
Kat a fan, too?	Yes, Kat
Right.	setVisibility(View
Macbeth, right?	Yes, Mac
Oh yeah.	I'm not
You think?	I think so
Yeah.	I'm not sure what
Cool pictures.	Thank you!
Hi.	I'm a newbie
Hey there.	I'm sorry
Man -- don't say shit	like that.
Sweet love, renew thy force!	Let it never
You were right.	I was wrong
No - I've got a	lot of work to do
So you got cozy with	the guy who killed your
I'm likin' you guys better	and better.
I prefer to think of	it as a new beginning
Yeah.	I'm not sure what
Ever been to Club Skunk?	No, I
Just for now.	I'll be
Are you telling me I'm	not going to get my
Good enough.	I'm glad
What?	The word "
We're your guys.	We're your
You two are gonna help	me out, right?"
Patrick, Pat, you're not looking	at this right.
So Dorsey can get the	best of both worlds.
That's where we can help	.We have
Dorsey can plow whoever he	wants.D
I think I speak correctly	, but I'm not
What is it with this	place?There
The situation is, my man	and I have been together
What plan?	There is no
Whatever the hell it is	, it's not a
What?	The word "
Say it	with me: “
See you next week!	-The Gang
You're completely demented.	I'm not
Well, you know -- there's	a lot of people that
You weren't abused, you aren't	a victim, you're
What's to discuss?	There are many
Why don't we discuss your	problem with the professor?
I'm at a loss, then.	I'm sorry."
Touch of the flu.	A touch of
I don't understand, Patrick.	Why are you doing this
With the teeth of your	mindYou will
It was a bratwurst.	It was a
It says here you exposed	yourself to a minor."
I missed you.	I missed you
That ' s what I	' m here for .
Absolutely not.	The only way
Did I have anything to	do with it?
Your daughters went to the	same school as you.
What just happened?	The speaker just
But -- who -- what	--?""
Have a great time, honey!	I will,
Dr.	John H. Hays
What do you wanna watch?	I don't
Kissing?	There is no
They'll dance, they'll kiss, they'll	be in love
Pirate -- no question.	I'm
Would you rather be ravished	by a vampire or a
You're not helping.	I'm sorry
Tumescent!	The tumes
Jesus!	I'm sorry."
Sarah Lawrence is on the	Upper East Side of Manhattan
What's a synonym for throbbing?	pulsing
Make anyone cry today?	I'm not
In the microwave.	In the oven
Can't be that far, I	'll just walk."
We left three weeks ago,	and we've been on
We should have seen land.	We should have
We'll all go crazy.	I'm not
He's the devil's child.	He's the
With a face like that?	I don't
Ah, leave him alone.	He's a good kid
What are you listening to,	right now?
You'll be drinking your own	pissYou'll
The water's going putrid in	here," she said.
I never seen heat like	thisI've
IF-GOD-WILLS-IT!	The following is
Asia can be found to	the east of the Pacific
Blind faith is what I	have in you
Don't you realize your words	are like a knife
Did He not choose a	few of us to be
If God intended our proximity	to the sun to be
No.	I'm not."
Is that all that interests	you?""
Trade, Your Excellency.	I am a trader,
If they agree to follow	the rules, they can
Your life, and that of	your family, is worth
Your Eminence, there is only	one thing I can do
Excellency, you are right.	I am a man of
Senor Colon, an experienced captain	, was in command of
Then you cannot ignore that	the world is changing.
I am, Your Eminence	.”
Unfortunately, Don Colon, that is	not the case.
Yes, your Eminence.	”
You say Asia can be	divided into two parts.
A waste.	I think that
What a tragedy.	I know.
You can see for yourself.	The following is
On the contrary, Your Eminence.	I am quite sure that
It won't be easy to	get the right person to
Indeed.	The following is
He is a mercenary!	He is a
Naturally.	The first thing
The Judgment is ours!	The Judgment is
The State has some reason	to be concerned about the
I can't keep my eyes	off youI
What is it, now?	I'm not
I am busy inside.	I am busy
Can't you stay with us	?""I
Not everything.	I'm not
They took everything.	They took my money,
They tried.	They really did. But
God.	”
I can arrange for the	two of you to meet
You don't usually ask.	You don't
Beatrix, I want to ask	you something."
That's something you can't decide.	I can't
I don't want you to	be angry with me,
I'm not asking you to	do anything," she said
Thank God.	I was so
She said yes.	He said yes
I find that hard to	believe," she said.
Perhaps I was never meant	to be a mother.
I'd love to argue with	you, but I don
Are we going to argue?	I don't
Well.	I'm not sure what
I haven't given you much	to go on, have
I know.	I'm sorry."
I could be gone for	a while.
I am afraid this is	not possible.
How could I be?	I'm not
I am not a seaman.	I am not
How far from here?	It is about
Congratulations.	You have successfully completed the
Viceroy of the West Indies.	The Vicer
Appointment to what?	I have an
My letters of appointment.	Dear ________
Yes.	Do you have
Don Alonso de Bobadilla.	Don Alonso de
Bartolome and Giacomo Colon.	Bartol
May I ask by whom?	The question was
Forgive me, Don Bobadilla --	I am not a man
I understand that you will	use my information to send
Tell me the first thing	you think of when you
Really?	I don't
I want you to tell	me the truth
He never had one.	He was a
He asks when he can	see her again.
What does he say?	He says that
I am not listening, Father.	I am not listening.
What are you listening to?	I am listening
There must be a passage	of time between the two
Father.	getName() + "
Not bad.	Not bad at
How are you feeling, Fernando?	I'm feeling
This time with me!	I’
I have to explore the	worldI have
Yes.	Do you have
Do you swear on all	that is holy that you
You promise?	Yes, I
There'll be a time.	There'll be
I want to go with	you.""
All of them created by	the same person.
Roofs.	comRoof
What do you see?	I see a
Look out of that window.	I can see
I am not afraid of	dying.I
Call them.	I can't
All I have to do	is to get the right
To rise so high, in	such a short time,
What.	I'm not
You seem to have a	lot of anger in you
Good!	”
Don Bobadilla is already a	legend in the world of
But we do have a	few things to look forward
for a commoner?	There is no
You defend yourself admirably.	Thank you.
Forgive me, Don Colon.	I am not a man
They don't see sin in	the same way.
If you won't accept our	help, then you're
And were you never ambitious,	Mr.D
Then you are too ambitious.	I am not
I'm not bargaining!	I'm not bargaining!
I remind you, Senor Colon,	that you are a prisoner
NO.	The following is
No?	No.
No.	I'm not."
You never learned how to	swimI never
Utapan, won't you speak to	me?""
You did the same to	me, you know,"
You have to find them,	and then you have to
Ask him if he will	be my valentine
He understands.	He knows that
We will work with his	family to ensure that he
He has medicine.	He has a
Chief says.	"I'm
and also to bring medicine.	The doctor was
Chief says -- he has	a lot of respect for
To bring the word of	God to the lost and
Why?	The United States
Thousands.	comThe Million
Chief says -- how many?	A. I
Tell him his country is	at war.
Chief knows.	"I'm
Tell the Chief we thank	him for his help."
You come!	”
Island.	java-
What is it?	The term
Say not here!	This is not
I don't know.	I don't
Oh?	”
New worlds create new people.	This is an
I knew you would.	I'm not
I have to disagree.	I think the problem is
You'll always be older than	meYou'll
I suppose we're both old	enough to know that."
Give me absolution.	I am sorry
I believed in you.	I believed in
You are bound by an	agreement to pay a certain
My son, my son.	”
If I tell them, they	'll kill me."
May God forgive you.	I hope that
I am not sure.	I am not
How long?	The duration of
I lied.	I didn't want to
What are you saying?	I'm saying
Father, I have betrayed my	people. I have betrayed
I am listening, my son.	”
Forgive me, Father.	I have sinned.
In Nomine Patris et Filius,	et Spiritus Sancti
Colon!	=null)
All of them!	I’
Damn all of you!	”
Colon!	=null)
Damn God!	” he said.
If God intends you to	be a missionary, He
Wait!	” I said.
You mustn't give way to	despair, my dear.
Only God knows the meaning	of life.
I've been contradicted all my	life. I've been
You get so carried away	with the excitement of the
Passion is something one cannot	explain. It is a
Father Marchena!	”
I'll try to remember that,	but I'm not sure
Two minutes.	I'll be
So was Christ!	And He was
Esdras is a Jew.	This is a
The calculations of Toscanelli Marin	oni and theexper
How can you be so	sure?""
Ignorance!	The word ignorance
How can you be so	sure?""
To open a new route	, you need to add
Why do you wish to	become a doctor?
With some difficulty.	I'm not
How did you manage it?	I managed it
That's what it says.	I'm not
God.	”
Father, I am doing what	you told me to do
Diego is a bright boy	.Diego
Your Majesty -- some men	are not what they seem
There is one thing I'd	like to ask you,
Thank you.	Thank you.
But without your brothers.	I'm not
They come and go as	they please.
Do they have such thoughts?	It is possible
Thirty seven, Your Majesty.	”
How old are you, Senor	ita?I
A woman?	A woman is
I know what I see.	I know what
You show no inclination to	do so.
May I speak freely?	Yes, you
Surely you can do anything	you want to do.
I cannot ignore the verdict	of the people. I
That she was impregnable.	That she was
What did they say about	the new product?
The ocean is uncrossable?	The ocean is
No more than the woman	who had been his wife
I should not even be	here.I
You will regret this.	I will never
You'll be held in detention,	You'll be
Savagery is what monkeys understand.	-Rud
In one act of brutality,	the police beat up a
You did not hear me,	” she said.
Don Moxica -- we all	know him as the "
My horse doesn't work.	There could be
We can't raise the wheel	because the car is on
We came here to stay!	We came here
We don't need to know.	I'm not
You want a war?	I'm not
If you want to keep	your car in good shape
We lost cousins, friends.	We lost a lot of
The Indians have no such	worries. They have a
And you say this is	a good thing?"
We can't be.	We're not."
He's drawing an isthmus.	He's drawing
What's he doing?	He's playing
Twenty eight.	Twenty nine.
What do you read?	I read a
Come over here.	I'll be
Well, I surely know what	I'm doing. I
And what do you think	of the new album?
Well.	I'm not sure what
God be with us admiral.	”
Due west, Captain Mendez.	”
You're right.	I'm sorry."
You tell that to them!	I'll tell
Pinzon, Pinzon.	Pinta
You bloody.	The best way
You never did.	I never did
Jesus Maria!	”
And then what?	I don't
You don't know anything!	You're wrong
The land is there.	The people are there.
We're lost!	We're not
You think I don't know	that?""
We're on the verge of	a new era in medicine
We have to keep the	faith,” he
You must be mad.	I'm not
Six days ago, yes.	But I've been in
You lied!	You lied! You lied
Immediately.	The first step
Where can I meet this	person?You
Because he is not afraid	of the truth.
Then why?	There are a
I know, I should not	be surprised. I am
And who would you think	would be the best person
He must be replaced.	The board of
Then, what do you suggest,	Mr. President?
Is this true, Brother Buyl?	”
But there is worse.	The government has
We weren't expecting immediate profits,	but we were expecting to
Every ship returns with a	cargo of gold and silver
Yes.	Do you have
Into a monk.	Into a
Never, Your Majesty.	I am a loyal subject
You were right, Don Sanchez.	I am a woman.
Yes, Your Majesty.	”
Is that the man I	saw you with last night
Officers, there's your killer, do	your job."
so we kill someone famous	This is a
I don't think it's abuse,	but I think it's
I'm abused.	If you are
Can I see your back?	Yes, you
Out on my back when	I was a kid
Your father put cigarettes out	on your back.
That's what he did to	me," she said.
Yeah, he hated me from	the start. I don
Your father blamed you for	your mother's death,"
Yeah, yeah.	I know. I'm
Back in the Czech Republic?	Yes, I
Yeah, she went blind giving	birth to me.
Your mother was blind?	Yes, my
My father always degraded me.	My father always
Tell me about yourself.	I am a
Give me another one, please.	"I'm
I need to know about	the history of the United
What else do you need?	You will need
This is not about money,	this is about the principle
Thirty-percent.	The answer is
But it's.	I'm not
No.	I'm not."
I would say.	I would say
What's your cut?	I don't
Look, I haven't really focused	on the whole "I
What about my movie rights?	The movie rights
Don't worry about him.	He's just a little
No, he is here.	He is in
Disappeared.	add(new Pair<
What about Oleg?	Oleg is
Well, you didn't appreciate the	fact that I was trying
I was all of these.	I was a
delusions and paranoia.	The first step
Oh, sure.	I'm not a big
You bring the cigarettes?	Yes, I
I brought you some letters.	I brought you
I'm invoking rights - this	is a right to freedom
Yes.	Do you have
I'm coming with you.	I'm not
Where are we going?	We are going
Don't say anything.	I'm not
He has the camera!	He has the
Emil.	Emil.
Oh no!	I'm sorry to hear
Here.	The first thing
I'm not your lawyer until	you pay me."
Are you my attorney?	No, I
Daphne, I.	(1931). The
I don't want to drag	you into this," I
Do you really want me	to do that?
Forget about me.	I don't
Pouring it out!	The water is
What are you doing?	I am currently
I'll get my clothes.	I'll get
I'll make some for us.	I'll make some for
In the kitchen.	In the living
Do you have coffee?	Yes, we
Right.	setVisibility(View
