They do not!	The Earth is
You mean I'd get a	raise?Yes
Guess who just signed up	for a free trial of
Sure do .	Yes, absolutely
You know French?	Yes, I
Joey Dorsey?	Joey Dor
He always have that shit-eating	grin on his face
Because they're bred to.	Some breeds of
Why do girls like that	?There is
I could start with your	favorite bookI
Why not?	There are many
Bianca Stratford.	Bianca
Who is she?	She is a
You burn, you pine, you	weepYou burn
That girl -- I --	I don't
Yeah, but these guys have	a lot of money.
That I'm used to.	I'm used
Couple thousand.	A few thousand
How many people go here?	This place is
Get out!	I don't
Thirty-two.	The number of
How many people were in	the room?
Yeah.	I don't
I was kidding.	I was not
North, actually.	I'm from
So -- which Dakota you	like?I
C'mon.	What?
So they tell me.	They tell me
You the new guy?	Yes, I
You get the girl.	You get the
What's the worst?	The worst is
Where?	The restaurant is
She kissed me.	I kissed her
You makin' any headway?	I'm making
She just needs time to	adjustShe just
She hates you with the	burning passion of a thousand
I don ' t know.	I don't
What'd you do to her?	I punched her
Then, go get her	a gift.
Sure	Yes
Cameron -- do you like	to cook?
She's partial to Joey, not	meThis is
What 're you talking about?	I'm talking
It's off.	It's off
Cameron, I'm a little busy	right now."
Don't make me do it,	Don't make
Gigglepuss is playing there tomorrow	Gigglep
So what does that give	us?That
Okay -- Likes:  Thai	food, sushi, ice
I've retrieved certain pieces of	information from the internet.
What've you got for me?	I've got
Yeah -- we'll see.	I don't
And he means that strictly	speaking, the Bible is
And why would I do	that?There
Leave my sister alone.	Leave my sister
Your sister here?	No, my
Away.	Away.
Where ya goin?	I'm going
Not at all	.I don
Hey -- do you mind?	No, not
They're running the rest of	the wayThey
Yeah, and I noticed the	same thing.
The vintage look is over,	but the style is still
Enough with the Barbie n'	Ken dollsIt
I don't know, Dorsey.	I don't
Get her to act like	a bitchThere
Do what?	What do you
How'd you do it?	I used the
A deal's a deal.	This phrase is
It's about time.	I think it
Forget her sister, then.	It's not
Forget it.	I don't
A hundred bucks a date.	That's a
What?	The term "
I just upped my price	on my product
I got her under control.	I managed to
Watching the bitch trash my	houseI feel
I'm on it	.""Thanks
When I shell out fifty,	I'm not expecting a
Fifty, and you've got your	pick of the litter.
Take it or leave it.	It's up
Fine, thirty.	Thirty is a
I can't take a girl	to a movie
How much?	I can't
I can't date her sister	There is no
You're gonna pay me to	do thisNo
You got it, Verona.	Verona:
But you'd go out with	meYes,
You need money to take	care of your family
You just said	that you don't want
Sure, Sparky.	I'm sorry
Yeah, whatever.	I don't
Two legs, nice rack.	I'm sorry
What do you think?	I think that
Yeah	I don't
Hey -- it's all for	the greater good!
You better not fuck this	upI'm
What?	The term "
You and Verona?	I don't
Uh,  yeah.	Yeah.
I hear you're helpin' Verona.	Yes, I
So what you need to	do is to create a
Does this conversation have a	happy ending?
But she can't go out	thereShe can
We're not.	We're not
Well, actually, I thought I'd	be able to do it
We don't chat.	We don't
Nope - just came by	to say hi
Are you lost?	No, I
Hey.	Hey.
Oh, honey -- tell me	what's wrong."
William - he asked me	to marry him
Who?	Who is the
Have you seen him?	I haven't
Oh, good.	Yes, good
You ' re looking at	a website.
Okay, okay, we won't go.	Okay, we
Listen to you!	I'm not
Well, I guess we're not,	then.""
Can you even imagine?	I can't
I got drunk.	I got drunk
You didn't	have to do that.
I did Bianca a favor	and I'm not sorry
You didn't have a choice?	No, I
I didn't have a choice.	I had to
You went to the party?	Yes, I
Who cares?	I care.
What'd he say?	"I don
No fear.	I have a
You think this'll work?	I don't
If I was Bianca, it	would be hard to not
Does it matter?	It does matter
I appreciate your efforts toward	making this a better place
Neither has his heterosexuality.	This is not
That's never been proven	That's never
William didn't even go to	the party.
William would never have gone	to the party if he
So he has this huge	, beautiful house and he
You could always go with	a more traditional gift like
The people at this school	are really nice. They
But imagine the things he'd	do with a real girlfriend
I realize that the men	in my life are not
An attempted slit.	This is an
What's this?	This is a
Just a little.	I'm not
Mandella, eat.	Mandella,
Block E?	The answer to
He always look so	happyHe always
I'm sure he's completely incapable	of understanding what you're
That's Pat Verona?	Pat Verona
Patrick Verona   Random	House, Inc.
Who's that?	That's a
Don ' t you even	tryDon '
Oh, Bianca?	Yes?
Because I like to torture	myselfI like
Why is my veggie burger	so dry?
Yeah, but then I fucked	upYeah,
Is that right?	Yes, that
Besides, I had some extra	time on my hands."
I thought you could use	a little more than just
A Fender Strat.	This is a
I didn't care about the	moneyI didn
Really?	Yes, it
It wasn't like that.	It wasn't
You were paid to take	care of my dog
Wait I.	Yes, you
It gets worse -- you	can't even get a
That ' s completely adorable!	That's so
That's where I was last	night.I
What?	The term "
My grandmother's .	22My grandmother
Look, I'm  -- sorry	, I'm not
Oh huh	Yeah
It's just something I had.	It's just
It's Scurvy's.	Scurvy
How'd you get a tux	edo?You
Nothing!	I don't
Answer the question, Patrick	,What is
You need therapy.	This is a
You tell me.	What do you
So I have to have	a new phone
Create a little drama?	I was just
Because I don't want to.	I don't
Why not?	There are many
No, I won't go with	you.""
No what?	A "what
No.	No.
You know what I mean	?Yes,
Is that a request or	a demand?
Go to the prom with	your dateThis
You're amazingly self-assured.	You have a
No one else knows	No one else
What?	The term "
You're sweet.	Thank you.
No -- something real.	I don't
I hate peas.	I don't
Tell me something true.	I am a
I know the porn career's	not for everyone, but
Hearsay.	A statement made
The duck?	I don't
Fallacy.	The fallacy of
State trooper?	A state trooper
For.	I'm for
You up for it?	I'm up
You never disappointed me.	You never disappointed
How?	There are a
Then you screwed up	.You should
Something like that	.I don
So if you disappoint them	, they may not come
I don't like to do	thisI don
Yes	Yes
Acting the way we do.	The way we
So what's your excuse?	I don't
Yeah, well, don't let it	get to your head."
A soft side?	There is a
I dazzled him with my	smileI dazz
So how'd you get Chapin	to do it?
Good call.	I think so
I figured it had to	be something like that."
The Partridge Family?	The Partridge
Maybe.	Maybe.
You want me to climb	up there?"
Forget it.	I don't
Put your right foot there	Put your right
Try lookin' at it from	my perspectiveI
C'mon.	What?
I guess I never told	youI love
Look up, sunshine	Look up,
He left!	He left without
Other than my upchuck reflex?	Besides your up
So what did I have	to do?
Don't for one minute think	that I'm not grateful
Unwelcome?	No, not
Unwelcome.	I'm sorry
Wholesome.	Wholesome
Pleasant?	Yes, I
You 're so --	You're so
I heard there was a	new restaurant in town
What are you doing here?	I'm here
Excuse me, have you seen	a woman in a green
No offense, but you're sister	is a bit of a
BIANCA	I'm Bian
Who?	Who is the
He just wants me to	be happyHe
So what ' s up	with the title?
I'm gettin' there	I'm getting
Oh, so now you think	you're a detective?"
You don't strike me as	the type of person who
My father wouldn't approve of	this," I say,
Start a band?	I'm not
This.	This is the
Do what?	What do you
I should do this.	I should do
Why'd you lie?	I lied because
Then why'd you ask?	I asked because
No, you weren't	dreaming.No
Maybe.	Maybe.
Were you in jail?	No, I
Busy	Busy is
When you were gone last	nightI was
But it's Gigglepuss - I	'm not sure what you
And I'm in control of	my lifeI
What?	The term "
Kat!	Kat is a
You know what they say	about the best-l
I thought you were above	this.""
Hey man.	Hey.
I know.	I'm sorry."
I hate him.	I don't
Dorsey.	Dorsey
Who?	Who is the
Why'd you let him get	away?""
Just let me sit down.	Sure.
See that?	That is a
Like you could find one	There are many
Because then I'd have to	be a hypocrite
Why?	There are many
Sure, I do	.I'm
You don't care if I	'm a virgin
I told you	I was going to get
Why 're you doing this?	I'm doing
Leave it to you to	make the perfect breakfast
This is so patronizing.	This is so
What if you have a	question about a product or
I know, just let me	know when you're ready
Uh, uh.	Uh, uh
I just need to lie	downI just
You're not okay.	You're not
I'm fine.	I'm fine
Okay?	Okay.
Funny, you're the only one	who's ever said that
I say, do what you	wantI don
"I'm getting trashed, man.	I'm getting
What's this?	This is a
Why, don't you?	I don't
You know who The Raincoats	are?The
You know, these guys are	always talking about how they
Do you mind?	No, not
That's what you want, isn't	it?Yes
Excuse me?	Excuse me
hey.	Hey.
Depends on the topic.	Some topics might
You're not a big talker,	are you?"
Hi	I am a
I was in the laundromat.	I was in
Are you following me?	Yes, I
Seven-thirty?	Yes, seven
You -- covered in my	bloodI'm
Come on -- the ponies,	they're just so darn
And why would I do	that?There
Then say you'll spend Dollar	I'll spend
I don't really think you	should be doing that."
You hate me don't you?	No, I
I know a lot more	about the game now.
Like where?	The place where
The night I take you	to the movies
Oh, right.	I'm sorry
Pick you up Friday, then	Pick you up
My mission in life.	To help others
There's a way to get	around this.
Sweating like a pig, actually.	I sweat like
I mean Wo-man.	Woman.
Oh, Christ.	I'm sorry
When I go?	I will go
You know, fathers don't like	to hear that their daughters
No -- impressed.	No, I
What's the matter?	What's the
Bianca did what?	Bianca
The part where Bianca beat	up the bully
Which parts?	The parts of
Parts of it.	The first part
So tell me about this	projectThis project
No, Daddy.	No, Daddy
I don't understand the allure	I don't
Funny.	I don't
Yeah.	I don't
Was that your sister?	Yes, that
I want to go to	the moonThis
You're eighteen.	Yes, I
So what I want doesn't	existThis is
As a parent, that's my	worst nightmare come true.
Because you're making decisions for	the future, you need
Why can't we agree on	a definition of marriage?
I thought you were punishing	me.""
Is this about Sarah Lawrence?	No, this
Then tell them I had	a great time
My insurance does not cover	thisThere is
Enough!	No, please
This from someone whose diary	is full of angst and
You decided.	You decided to
I thought we decided you	were going to be my
I know.	I'm sorry."
Just smack her now.	I don't
Am I supposed to feel	happy about this?
No .	No.
Tempestuous?	Yes, the
The point is Kat --	you don't have to
I still maintain that he	is the best player in
Well, yes, compared to your	average person, I am
Expressing my opinion is not	a crimeI
Katarina Stratford.	Katarina
Yeah.	I don't
Kat a fan, too?	Yes, I
Right.	I'm going
Macbeth, right?	Yes, Mac
Oh yeah.	I'm sorry
You think?	I don't
Yeah.	I don't
Cool pictures.	1. A
Hi.	Hi!
Hey there.	Hello!
Man -- don't say shit	like thatI
Sweet love, renew thy force!	Thou art
You were right.	I was right
No - I've got a	lot of work to do
So you got cozy with	a girlI
I'm likin' you guys better	I'm lik
I prefer to think of	it as a way to
Yeah.	I don't
Ever been to Club Skunk?	No, I
Just for now.	I'm not
Are you telling me I'm	not allowed to have a
Good enough.	That's good
What?	The term "
We're your guys.	We're the
You two are gonna help	me with this," he
Patrick, Pat, you're not looking	at the right thing.
So Dorsey can get the	ball rollingD
That's where we can help	.We can
Dorsey can plow whoever he	wantsDor
I think I speak correctly	when I say that you
What is it with this	guy?I
The situation is, my man	is a total player
What plan?	There is no
Whatever the hell it is	, it's a goddamn
What?	The term "
Say it	I love you
See you next week!	
You're completely demented.	You're completely
Well, you know -- there's	always a first time.
You weren't abused, you aren't	a victimAb
What's to discuss?	There is not
Why don't we discuss your	work?I
I'm at a loss, then.	I'm sorry
Touch of the flu.	A fever,
I don't understand, Patrick.	Patrick:
With the teeth of your	saw blade resting on the
It was a bratwurst.	It was a
It says here you exposed	yourself to radiation
I missed you.	I'm sorry
That ' s what I	call a"
Absolutely not.	Yes, absolutely
Did I have anything to	do with that?"
Your daughters went to the	storeYour daughters
What just happened?	The user clicked
But -- who -- what	--Who is
Have a great time, honey!	I will!
Dr.	I am a
What do you wanna watch?	I want to
Kissing?	Kissing
They'll dance, they'll kiss, they'll	liveAnd love
Pirate -- no question.	Pirate is
Would you rather be ravished	by a dragon or have
You're not helping.	I'm sorry
Tumescent!	Tumescent
Jesus!	Jesus Christ is
Sarah Lawrence is on the	cover of the September issue
What's a synonym for throbbing?	throbbing
Make anyone cry today?	Anyone can cry
In the microwave.	Microwave
Can't be that far, I	'll find you
We left three weeks ago,	and I can't help
We should have seen land.	We should have
We'll all go crazy.	We'll all
He's the devil's child.	He's the
With a face like that?	I don't
Ah, leave him alone.	Don't bother
What are you listening to,	and why?
You'll be drinking your own	pissYou'll
The water's going putrid in	hereThe water
I never seen heat like	this beforeI
IF-GOD-WILLS-IT!	IF-G
Asia can be found to	the east of Europe,
Blind faith is what I	haveFaith is
Don't you realize your words	are like daggers
Did He not choose a	better way?
If God intended our proximity	to Him to be a
No.	No.
Is that all that interests	you?""
Trade, Your Excellency.	I am not
If they agree to follow	the rules,
Your life, and that of	your loved ones, is
Your Eminence, there is only	one way to find out
Excellency, you are right.	I will not forget your
Senor Colon, an experienced captain	of a merchant ship,
Then you cannot ignore that	the person is not following
I am, Your Eminence	,Your obedient
Unfortunately, Don Colon, that is	not your real name.
Yes, your Eminence.	Yes, your
You say Asia can be	divided into two parts
A waste.	A waste is
What a tragedy.	What a tragedy
You can see for yourself.	The first step
On the contrary, Your Eminence.	I do not
It won't be easy to	get the ball out of
Indeed.	I think that
He is a mercenary!	No, he
Naturally.	Naturally.
The Judgment is ours!	The Judgment is
The State has some reason	to believe that the defendant
I can't keep my eyes	off youI
What is it, now?	It's a
I am busy inside.	I am busy
Can't you stay with us	?""I
Not everything.	Some things are
They took everything.	They took everything
They tried.	They really did
God.	I am not
I can arrange for the	delivery of the product
You don't usually ask.	I'm sorry
Beatrix, I want to ask	you something.
That's something you can't decide.	There is no
I don't want you to	be madI
I'm not asking you to	be my girlfriend
Thank God.	I am grateful
She said yes.	I asked her
I find that hard to	believe.I
Perhaps I was never meant	to be a writer
I'd love to argue with	you, but I'm
Are we going to argue?	No, we
Well.	I don't
I haven't given you much	to go on.
I know.	I'm sorry."
I could be gone for	a whileI
I am afraid this is	not a good idea.
How could I be?	You could be
I am not a seaman.	I am not
How far from here?	I'm not
Congratulations.	Thank you.
Viceroy of the West Indies.	The Vicer
Appointment to what?	The appointment to
My letters of appointment.	Dear ________
Yes.	Yes, I
Don Alonso de Bobadilla.	He was a
Bartolome and Giacomo Colon.	Bartol
May I ask by whom?	May I ask
Forgive me, Don Bobadilla --	I am not myself today
I understand that you will	be working with me on
Tell me the first thing	that comes to mind when
Really?	Yes, it
I want you to tell	me about your family
He never had one.	He never had
He asks when he can	come backI
What does he say?	"I'm
I am not listening, Father.	I am not
What are you listening to?	I'm listening
There must be a passage	in the Bible that says
Father.	I am grateful
Not bad.	It's not
How are you feeling, Fernando?	I'm feeling
This time with me!	This time with
I have to explore the	worldI have
Yes.	Yes, I
Do you swear on all	that is holy?
You promise?	I promise.
There'll be a time.	There always is
I want to go with	youI want
All of them created by	the same person
Roofs.	Roofs
What do you see?	I see a
Look out of that window.	I can't
I am not afraid of	deathI am
Call them.	1. The
All I have to do	is find the right person
To rise so high, in	so short a time
What.	A person.
You seem to have a	lot of anger
Good!	That's great
Don Bobadilla is already a	legend in the world of
But we do have a	few things to worry about
for a commoner?	A commoner
You defend yourself admirably.	Thank you.
Forgive me, Don Colon.	I'm sorry
They don't see sin in	themselvesThey may
If you won't accept our	offer, please let us
And were you never ambitious,	or did you just not
Then you are too ambitious.	If you are
I'm not bargaining!	I'm not
I remind you, Senor Colon,	that I am a gentleman
NO.	1.
No?	No.
No.	No.
You never learned how to	swimI never
Utapan, won't you speak to	me?""
You did the same to	meI did
You have to find them,	and you have to do
Ask him if he will	be in the office tomorrow
He understands.	He understands that
We will work with his	family to make sure he
He has medicine.	He has a
Chief says.	"I don
and also to bring medicine.	I brought some
Chief says -- he has	a gunThe
To bring the word of	God to the people
Why?	There are many
Thousands.	Thousands.
Chief says -- how many?	The chief says
Tell him his country is	a democracyThe
Chief knows.	The boss knows
Tell the Chief we thank	you for your service
You come!	I'll come
Island.	The island is
What is it?	A virus is
Say not here!	Don't say
I don't know.	I don't
Oh?	Yes, the
New worlds create new people.	-J.
I knew you would.	”
I have to disagree.	I think that
You'll always be older than	your peersThis
I suppose we're both old	enough to know better
Give me absolution.	I absolve
I believed in you.	I believed in
You are bound by an	agreementIf you
My son, my son.	My son,
If I tell them, they	will think I'm crazy
May God forgive you.	I forgive you
I am not sure.	I am not
How long?	It will take
I lied.	I told you
What are you saying?	I'm saying
Father, I have betrayed my	trustI have
I am listening, my son.	I am listening
Forgive me, Father.	I am sorry
In Nomine Patris et Filius,	et Spiritus
Colon!	Your colon is
All of them!	All of them
Damn all of you!	This phrase is
Colon!	Your colon is
Damn God!	God damn!
If God intends you to	be happy, then He
Wait!	Wait!
You mustn't give way to	angerAnger
Only God knows the meaning	of lifeThis
I've been contradicted all my	lifeI've
You get so carried away	with the idea of being
Passion is something one cannot	control.P
Father Marchena!	Hello, my
I'll try to remember that,	too.""
Two minutes.	I'm sorry
So was Christ!	Yes, Christ
Esdras is a Jew.	Esdras
The calculations of Toscanelli Marin	ettiThe calculations
How can you be so	sure?I
Ignorance!	Ignorance
How can you be so	sure?I
To open a new route	To open a
Why do you wish to	become a doctor?
With some difficulty.	It was difficult
How did you manage it?	I managed it
That's what it says.	The first sentence
God.	I am not
Father, I am doing what	you have asked of me
Diego is a bright boy	and loves to learn new
Your Majesty -- some men	are born to greatness,
There is one thing I'd	like to see more of
Thank you.	Thank you.
But without your brothers.	Without my brothers
They come and go as	they pleaseThey
Do they have such thoughts?	There is no
Thirty seven, Your Majesty.	Thirty seven is
How old are you, Senor	ita?""
A woman?	There is no
I know what I see.	I see a
You show no inclination to	be a good person
May I speak freely?	Yes, you
Surely you can do anything	Anything at all
I cannot ignore the verdict	of the people
That she was impregnable.	That she was
What did they say about	the future?
The ocean is uncrossable?	No, the
No more than the woman	's ageNo
I should not even be	here.I
You will regret this.	You will regret
You'll be held in detention,	pending a hearing
Savagery is what monkeys understand.	This is a
In one act of brutality,	a man killed his wife
You did not hear me,	” he said.
Don Moxica -- we all	know him as the voice
My horse doesn't work.	This is a
We can't raise the wheel	We can't
We came here to stay!	We came here
We don't need to know.	We don't
You want a war?	No, I
If you want to keep	your data safe, you
We lost cousins, friends.	We lost loved
The Indians have no such	thing as a national anthem
And you say this is	a problem?
We can't be.	No, we
He's drawing an isthmus.	The isth
What's he doing?	He's looking
Twenty eight.	Thirty.
What do you read?	I read a
Come over here.	Come over here
Well, I surely know what	you mean.
And what do you think	is the most important thing
Well.	I don't
God be with us admiral.	And also with
Due west, Captain Mendez.	The captain of
You're right.	I'm sorry."
You tell that to them!	I don't
Pinzon, Pinzon.	A Spanish surname
You bloody.	You're a
You never did.	No, I
Jesus Maria!	Dear Jesus,
And then what?	Then you can
You don't know anything!	You don't
The land is there.	The people are not.
We're lost!	We're lost
You think I don't know	what you're doing?"
We're on the verge of	a new era
We have to keep the	pressure onWe
You must be mad.	I'm not
Six days ago, yes.	On the sixth
You lied!	You lied about
Immediately.	Immediately
Where can I meet this	person?You
Because he is not afraid	of death,
Then why?	There are many
I know, I should not	have said that.
And who would you think	is the best candidate to
He must be replaced.	He must be
Then, what do you suggest,	if you are not happy
Is this true, Brother Buyl?	Yes, Brother
But there is worse.	There is the
We weren't expecting immediate profits,	but we were expecting to
Every ship returns with a	new captain.
Yes.	Yes, I
Into a monk.	Hello, my
Never, Your Majesty.	I will never
You were right, Don Sanchez.	I was right
Yes, Your Majesty.	Yes, Your
Is that the man I	saw in the alley?"
Officers, there's your killer, do	your jobAnd
so we kill someone famous	There are many
I don't think it's abuse,	but I don't know
I'm abused.	This is a
Can I see your back?	Yes, you
Out on my back when	I was younger
Your father put cigarettes out	on the porch
That's what he did to	meThat's
Yeah, he hated me from	the moment he saw me
Your father blamed you for	your mother's death."
Yeah, yeah.	I'm not
Back in the Czech Republic?	Yes, I
Yeah, she went blind giving	birth to me."
Your mother was blind?	Yes, my
My father always degraded me.	This is not
Tell me about yourself.	I am a
Give me another one, please.	Give me another
I need to know about	the history of the
What else do you need?	A computer,
This is not about money,	it is about the principle
Thirty-percent.	Thirty percent of
But it's.	It's not
No.	No.
I would say.	I would say
What's your cut?	I get paid
Look, I haven't really focused	on this whole "dating
What about my movie rights?	Your movie rights
Don't worry about him.	Don't worry
No, he is here.	No, he
Disappeared.	The victim's
What about Oleg?	Oleg is
Well, you didn't appreciate the	giftI know
I was all of these.	I was all
delusions and paranoia.	Delusions are
Oh, sure.	I'm sorry
You bring the cigarettes?	I don't
I brought you some letters.	I brought you
I'm invoking rights - this	is a formal legal process
Yes.	Yes, I
I'm coming with you.	I'm coming
Where are we going?	We are going
Don't say anything.	I don't
He has the camera!	He has the
Emil.	Emil is
Oh no!	This is not
Here.	This is a
I'm not your lawyer until	you hire me
Are you my attorney?	No, I
Daphne, I.	Daphne
I don't want to drag	this out, but I
Do you really want me	to do this?"
Forget about me.	I'm not
Pouring it out!	I'm so
What are you doing?	I am reading
I'll get my clothes.	I'll get
I'll make some for us.	I'll make
In the kitchen.	I'm going
Do you have coffee?	Yes, I
Right.	I'm going
